symbol,company_name,categories
AHCHY,Anhui Conch Cement Company Limited,"US stocks,US stocks - not owned"
NMR,"Nomura Holdings, Inc.","US stocks,US stocks - not owned"
SHG,"Shinhan Financial Group Co., Ltd.","US stocks,US stocks - not owned"
AVTR,"Avantor, Inc.","US stocks,US stocks - not owned"
FOX,Fox Corporation,"US stocks,US stocks - not owned"
SGIOY,"Shionogi & Co., Ltd.","US stocks,US stocks - not owned"
VFS,VinFast Auto Ltd.,"US stocks,US stocks - not owned"
ZTO,ZTO Express (Cayman) Inc.,"US stocks,US stocks - not owned"
VTRS,Viatris Inc.,"US stocks,US stocks - not owned"
HST,"Host Hotels & Resorts, Inc.","US stocks,US stocks - not owned"
CAG,"Conagra Brands, Inc.","US stocks,US stocks - not owned"
NWSA,News Corporation,"US stocks,US stocks - not owned"
NWS,News Corporation,"US stocks,US stocks - not owned"
XP,XP Inc.,"US stocks,US stocks - not owned"
KKPNY,Koninklijke KPN N.V.,"US stocks,US stocks - not owned"
AMCR,Amcor plc,"US stocks,US stocks - not owned"
KIM,Kimco Realty Corporation,"US stocks,US stocks - not owned"
BEN,"Franklin Resources, Inc.","US stocks,US stocks - not owned"
KEY,KeyCorp,"US stocks,US stocks - not owned"
SUZ,Suzano S.A.,"US stocks,US stocks - not owned"
PATH,UiPath Inc.,"US stocks,US stocks - not owned"
TEVA,Teva Pharmaceutical Industries Limited,"US stocks,US stocks - not owned"
NIO,NIO Inc.,"US stocks,US stocks - not owned"
RTO,Rentokil Initial plc,"US stocks,US stocks - not owned"
MRO,Marathon Oil Corporation,"US stocks,US stocks - not owned"
HLDCY,Henderson Land Development Company Limited,"US stocks,US stocks - not owned"
ACI,"Albertsons Companies, Inc.","US stocks,US stocks - not owned"
SNN,Smith & Nephew plc,"US stocks,US stocks - not owned"
CRRFY,Carrefour SA,"US stocks,US stocks - not owned"
GRAB,Grab Holdings Limited,"US stocks,US stocks - not owned"
NHYDY,Norsk Hydro ASA,"US stocks,US stocks - not owned"
GFI,Gold Fields Limited,"US stocks,US stocks - not owned"
ARCC,Ares Capital Corporation,"US stocks,US stocks - not owned"
ZI,ZoomInfo Technologies Inc.,"US stocks,US stocks - not owned"
ALMMF,Aluminum Corporation of China Limited,"US stocks,US stocks - not owned"
FMS,Fresenius Medical Care AG,"US stocks,US stocks - not owned"
WPLCF,Wise plc,"US stocks,US stocks - not owned"
MTHRY,"M3, Inc.","US stocks,US stocks - not owned"
AES,The AES Corporation,"US stocks,US stocks - not owned"
BCH,Banco de Chile,"US stocks,US stocks - not owned"
COTY,Coty Inc.,"US stocks,US stocks - not owned"
PAA,"Plains All American Pipeline, L.P.","US stocks,US stocks - not owned"
CX,"CEMEX, S.A.B. de C.V.","US stocks,US stocks - not owned"
WES,"Western Midstream Partners, LP","US stocks,US stocks - not owned"
SSDOY,"Shiseido Company, Limited","US stocks,US stocks - not owned"
NI,NiSource Inc.,"US stocks,US stocks - not owned"
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,"US stocks,US stocks - not owned"
PEAK,"Healthpeak Properties, Inc.","US stocks,US stocks - not owned"
AEG,Aegon Ltd.,"US stocks,US stocks - not owned"
PR,Permian Resources Corporation,"US stocks,US stocks - not owned"
FLEX,Flex Ltd.,"US stocks,US stocks - not owned"
SOUHY,South32 Limited,"US stocks,US stocks - not owned"
NLY,"Annaly Capital Management, Inc.","US stocks,US stocks - not owned"
YPF,YPF Sociedad Anónima,"US stocks,US stocks - not owned"
TBVPF,Thai Beverage Public Company Limited,"US stocks,US stocks - not owned"
HOOD,"Robinhood Markets, Inc.","US stocks,US stocks - not owned"
AAL,American Airlines Group Inc.,"US stocks,US stocks - not owned"
PARA,Paramount Global,"US stocks,US stocks - not owned"
XPEV,XPeng Inc.,"US stocks,US stocks - not owned"
CLF,Cleveland-Cliffs Inc.,"US stocks,US stocks - not owned"
TOST,"Toast, Inc.","US stocks,US stocks - not owned"
ONON,On Holding AG,"US stocks,US stocks - not owned"
BSAC,Banco Santander-Chile,"US stocks,US stocks - not owned"
RDEIY,"Redeia Corporación, S.A.","US stocks,US stocks - not owned"
FTI,TechnipFMC plc,"US stocks,US stocks - not owned"
TIMB,TIM S.A.,"US stocks,US stocks - not owned"
CHWY,"Chewy, Inc.","US stocks,US stocks - not owned"
FNMA,Federal National Mortgage Association,"US stocks,US stocks - not owned"
PSO,Pearson plc,"US stocks,US stocks - not owned"
ROIV,Roivant Sciences Ltd.,"US stocks,US stocks - not owned"
VIPS,Vipshop Holdings Limited,"US stocks,US stocks - not owned"
IMGN,"ImmunoGen, Inc.","US stocks,US stocks - not owned"
COLD,"Americold Realty Trust, Inc.","US stocks,US stocks - not owned"
FHN,First Horizon Corporation,"US stocks,US stocks - not owned"
LBTYK,Liberty Global Ltd.,"US stocks,US stocks - not owned"
SKM,"SK Telecom Co., Ltd.","US stocks,US stocks - not owned"
LBTYA,Liberty Global Ltd.,"US stocks,US stocks - not owned"
UNLRF,PT Unilever Indonesia Tbk,"US stocks,US stocks - not owned"
S,"SentinelOne, Inc.","US stocks,US stocks - not owned"
NOV,NOV Inc.,"US stocks,US stocks - not owned"
ATH-PA,Athene Holding Ltd.,"US stocks,US stocks - not owned"
GPK,Graphic Packaging Holding Company,"US stocks,US stocks - not owned"
EDR,"Endeavor Group Holdings, Inc.","US stocks,US stocks - not owned"
JDSPY,JD Sports Fashion Plc,"US stocks,US stocks - not owned"
ARMK,Aramark,"US stocks,US stocks - not owned"
GGB,Gerdau S.A.,"US stocks,US stocks - not owned"
OHI,"Omega Healthcare Investors, Inc.","US stocks,US stocks - not owned"
NYCB,"New York Community Bancorp, Inc.","US stocks,US stocks - not owned"
